ABE	10.7636612022
ABQ	11.2793958172
ACV	14.1116788321
ACY	8.78407557355
AKN	11.1853035144
ALS	4.26470588235
ATW	12.0672136321
AUS	14.3548375908
AVL	11.0799304952
BFF	11.462474645
BFL	10.0024953213
BHM	13.9197742614
BIL	6.13644859813
BKG	19.829787234
BLI	4.16264814058
BNA	13.1904113568
BOI	5.74086437105
BPT	2.74635036496
BRO	13.967251462
BTM	5.0932642487
BTV	16.6978604279
BUF	15.2034529183
BUR	8.24143026005
CDV	-0.222462203024
CHO	14.7431964374
CLE	13.051753972
CLT	12.2237088958
CRW	16.3833515882
CSG	8.00083963056
CVG	11.0533085124
CYS	9.65728900256
DAL	17.3211073164
DBQ	3.29039812646
DCA	14.9415896897
DDC	18.6930946292
DEN	17.7738277217
DHN	8.13473053892
DLG	8.02413793103
DTW	12.2988251785
DVL	15.9339853301
EAT	7.01890756303
EGE	14.8301435407
ERI	11.0816326531
EYW	21.0167587805
FAY	9.94651320244
FSD	12.646925766
FSM	10.780638517
GSO	8.30939315688
GUM	2.30661322645
HDN	15.3775889538
HOU	15.2139255777
HPN	19.4362129258
HRL	10.2874109264
HTS	30.9126213592
IAD	15.3939469665
IAG	30.8191489362
ICT	12.4143356643
IDA	12.9077231695
INL	18.5091383812
ISP	16.3750765462
ITO	4.21679736909
JAC	16.0521765977
JAX	15.8118219229
LAS	15.3921619751
LBF	10.285012285
LBL	4.54156171285
LCH	6.75866851595
LCK	28.8903924222
LEX	9.81368175058
LFT	16.5555068012
LGA	15.8685905889
LIH	5.5842909963
LIT	12.2813424009
MAF	11.1980911219
MHK	9.85802469136
MHT	11.3937349398
MIA	17.4126059835
MKE	10.515877844
MQT	24.1180285344
MRY	10.563099631
MSO	10.3114543115
MYR	9.13987210664
OAJ	8.24763979666
OGD	21.2592592593
OGG	9.01450447263
OGS	26.3991416309
OKC	9.94286589569
OMA	11.42010236
ORH	17.8385269122
PDX	7.08845925505
PIA	13.8325881769
PSC	6.66649377593
PVU	11.5364511692
RAP	16.4983153639
RDD	2.92275747508
RDM	7.55708884688
RHI	15.3541666667
RIW	10.5639097744
RNO	9.10422557336
ROW	12.1155778894
SAF	10.5138999206
SBN	13.2903415783
SDF	12.822567926
SGF	12.9011940997
SGU	5.62587601078
SJC	8.23914134703
SJU	18.1860698515
SMF	8.93607134611
SMX	35.2417582418
SPI	17.8116147309
STT	14.7631121054
SYR	16.7079926785
TOL	12.7603833866
TRI	12.2121212121
TUL	8.6649122807
USA	21.0
VLD	20.9146706587
YUM	7.72602739726
